thread_id,thread_title,post_idx_in_thread,page_idx_in_thread,timestamp_utc,author_hmac,author_was_guest,content_clean,content_hash,content_len_chars,content_len_chars_raw,is_reply,had_quote_block,n_urls,n_emojis,parent_post_idx,votes_up,votes_down,url_canonical,parser_version,scraped_at_utc
69403663,aktualne rekomendacje ekspertów to 220 do 240 złotych.,3,3,2024-12-30T11:55:00+00:00,eb8d43a506afa846db8a,True,"może bym się zgodził, gdyby końcówka roku to były mocniejsze wzrosty ale nic takiego nie miało miejsca. Wręcz przeciwnie. Cała jesień to było osuwanie gpw. wig20 spadł z 2450 punktów na obecne 2200. W grudniu była słabizna. Więc jaka korekta na rynku? Co więcej, CDP szedł w poprzek ruchu rynku i rósł, a to pokazuje jego siłę.",bc5ed6281ebbc3b7,327,327,False,False,0,0,,7,1,"https://www.bankier.pl/forum/temat_re-aktualne-rekomendacje-ekspertow-to-220-do-240-zlotych,69404225.html",0.2.0,2026-05-14T13:22:19.797718+00:00
69403663,aktualne rekomendacje ekspertów to 220 do 240 złotych.,4,4,2024-12-30T21:35:00+00:00,e2a2e3a69056307d6789,True,"Coś mi się wydaje, że jednak wyjdzie na moje tj.spadki przez conajmniej 2 tygodnie.",35a630d2446a3154,83,83,False,False,0,0,,0,4,"https://www.bankier.pl/forum/temat_re-aktualne-rekomendacje-ekspertow-to-220-do-240-zlotych,69411263.html",0.2.0,2026-05-14T13:22:23.363894+00:00
69403663,aktualne rekomendacje ekspertów to 220 do 240 złotych.,5,5,2024-12-30T21:57:00+00:00,e44ccff6d2759ef15643,True,Nie :),f4940f28836f66e4,6,6,False,False,0,0,,1,0,"https://www.bankier.pl/forum/temat_re-aktualne-rekomendacje-ekspertow-to-220-do-240-zlotych,69411449.html",0.2.0,2026-05-14T13:22:26.681687+00:00
69407997,Hedge-umoczeńcy stracili możliwość kreowania kursu pod siebie.,0,0,2024-12-30T16:15:00+00:00,6eef99b0ced05e64d08a,True,"Rynek ciśnie coraz wyżej, a do odkupu jest blisko 5 mln papiera. Tylko przy dzisiejszych cenach trzeba wyłożyć na ten cel około 900 mln pln.",0765cb32888dbe16,140,140,False,False,0,0,,6,2,"https://www.bankier.pl/forum/temat_hedge-umoczency-stracili-mozliwosc-kreowania-kursu-pod-siebie,69407997.html",0.2.0,2026-05-14T13:22:29.745779+00:00
69407997,Hedge-umoczeńcy stracili możliwość kreowania kursu pod siebie.,1,1,2024-12-30T16:26:00+00:00,567d89907dd0e472a4a9,True,"szczera racja, ja pod siebie juz tylko robię",f9e00577a8e82e2c,44,44,False,False,0,0,,0,0,"https://www.bankier.pl/forum/temat_re-hedge-umoczency-stracili-mozliwosc-kreowania-kursu-pod-siebie,69408211.html",0.2.0,2026-05-14T13:22:33.633436+00:00
69407997,Hedge-umoczeńcy stracili możliwość kreowania kursu pod siebie.,2,2,2024-12-30T20:05:00+00:00,4056e40254e8631fd873,True,AQR mistrzowie świata w zawodach Twardy Kuper Short CDR,88807d9e7c2a8e1d,55,55,False,False,0,0,,0,1,"https://www.bankier.pl/forum/temat_re-hedge-umoczency-stracili-mozliwosc-kreowania-kursu-pod-siebie,69410583.html",0.2.0,2026-05-14T13:22:37.071601+00:00
69407997,Hedge-umoczeńcy stracili możliwość kreowania kursu pod siebie.,3,3,2024-12-30T21:21:00+00:00,7f416457e30310baebda,True,Przeliczyli się więcej kupujących niż sprzedających . A ten co skupuje robi to z głową chce naczepa akcji jak najwięcej nie podbijając kursu . Wszystkie próby spuszczania kursu są ładnie odbierane .,bdc6d9a52fdaf6fc,198,198,False,False,0,0,,2,0,"https://www.bankier.pl/forum/temat_re-hedge-umoczency-stracili-mozliwosc-kreowania-kursu-pod-siebie,69411155.html",0.2.0,2026-05-14T13:22:40.545555+00:00
69408837,Pamietacie początek 2024 r.,0,0,2024-12-30T17:08:00+00:00,5680c0f13f32fe0d9929,True,Dziś wyrzuciłem z portfela te akcje. Odkupię taniej.,4b2de80ec286da37,52,52,False,False,0,0,,2,10,"https://www.bankier.pl/forum/temat_pamietacie-poczatek-2024-r,69408837.html",0.2.0,2026-05-14T13:22:43.655989+00:00
69408837,Pamietacie początek 2024 r.,1,1,2024-12-30T17:45:00+00:00,f83bb4f14512e1d1a4ca,True,Dokładnie się zgadzam - po 250 PLN :-),b6e3349361e90593,38,38,False,False,0,0,,11,0,"https://www.bankier.pl/forum/temat_re-pamietacie-poczatek-2024-r,69409231.html",0.2.0,2026-05-14T13:22:50.580030+00:00
69408837,Pamietacie początek 2024 r.,2,2,2024-12-30T17:57:00+00:00,e44ccff6d2759ef15643,True,Po pierwsze żeby sprzedać akcje najpierw trzeba je miec. Po drugie Taniej już bylo :) w sumie nie żal mi peroniarzy,ad250d9ecd8b15a9,115,115,False,False,0,0,,10,0,"https://www.bankier.pl/forum/temat_re-pamietacie-poczatek-2024-r,69409357.html",0.2.0,2026-05-14T13:22:54.164228+00:00
